id,citibike_station_id,latitude,longitude,label,address,created_at,updated_at
261,485,40.75038009000000000000,-73.98338988000000000000,W 37 St & 5 Ave,"",2013-07-10 23:13:58.350642,2013-07-10 23:13:58.350642
262,486,40.74620090000000000000,-73.98855723000000000000,Broadway & W 29 St,"",2013-07-10 23:13:58.361686,2013-07-10 23:13:58.361686
263,487,40.73314259000000000000,-73.97573881000000000000,E 20 St & FDR Drive,"",2013-07-10 23:13:58.391004,2013-07-10 23:13:58.391004
264,488,40.75645824000000000000,-73.99372222000000000000,W 39 St & 9 Ave,"",2013-07-10 23:13:58.401971,2013-07-10 23:13:58.401971
265,489,40.75066386000000000000,-74.00176802000000000000,10 Ave & W 28 St,"",2013-07-10 23:13:58.412769,2013-07-10 23:13:58.412769
266,490,40.75157500000000000000,-73.99419000000000000000,W 33 St & 8 Ave,"",2013-07-10 23:13:58.423229,2013-07-10 23:13:58.423229
267,491,40.74096374000000000000,-73.98602212999999000000,E 24 St & Park Ave S,"",2013-07-10 23:13:58.433815,2013-07-10 23:13:58.433815
268,492,40.75019995000000000000,-73.99093085000000000000,W 33 St & 7 Ave,"",2013-07-10 23:13:58.444595,2013-07-10 23:13:58.444595
269,493,40.75680010000000000000,-73.98291153000000000000,W 45 St & 6 Ave,"",2013-07-10 23:13:58.455544,2013-07-10 23:13:58.455544
270,494,40.74734825000000000000,-73.99723551000000000000,W 26 St & 8 Ave,"",2013-07-10 23:13:58.466353,2013-07-10 23:13:58.466353
271,495,40.76269882000000000000,-73.99301222000000000000,W 47 St & 10 Ave,"",2013-07-10 23:13:58.476974,2013-07-10 23:13:58.476974
272,496,40.73726186000000000000,-73.99238966999999000000,E 16 St & 5 Ave,"",2013-07-10 23:13:58.487532,2013-07-10 23:13:58.487532
273,497,40.73704984000000000000,-73.99009296000000000000,E 17 St & Broadway,"",2013-07-10 23:13:58.4982,2013-07-10 23:13:58.4982
274,498,40.74854862000000000000,-73.98808416000000000000,Broadway & W 32 St,"",2013-07-10 23:13:58.512525,2013-07-10 23:13:58.512525
275,499,40.76915505000000000000,-73.98191841000001000000,Broadway & W 60 St,"",2013-07-10 23:13:58.523255,2013-07-10 23:13:58.523255
276,500,40.76228826000000000000,-73.98336183000001000000,Broadway & W 51 St,"",2013-07-10 23:13:58.555541,2013-07-10 23:13:58.555541
277,501,40.74421900000000000000,-73.97121214000001000000,FDR Drive & E 35 St,"",2013-07-10 23:13:58.567061,2013-07-10 23:13:58.567061
278,503,40.73827428000000000000,-73.98751968000001000000,E 20 St & Park Ave,"",2013-07-10 23:13:58.578017,2013-07-10 23:13:58.578017
279,504,40.73221853000000000000,-73.98165557000000000000,1 Ave & E 15 St,"",2013-07-10 23:13:58.588864,2013-07-10 23:13:58.588864
280,505,40.74901271000000000000,-73.98848395000000000000,6 Ave & W 33 St,"",2013-07-10 23:13:58.640963,2013-07-10 23:13:58.640963
281,507,40.73912601000000000000,-73.97973776000001000000,E 25 St & 2 Ave,"",2013-07-10 23:13:58.675992,2013-07-10 23:13:58.675992
282,508,40.76341379000000000000,-73.99667444000001000000,W 46 St & 11 Ave,"",2013-07-10 23:13:58.690747,2013-07-10 23:13:58.690747
283,509,40.74549730000000000000,-74.00197138999999000000,9 Ave & W 22 St,"",2013-07-10 23:13:58.704465,2013-07-10 23:13:58.704465
284,510,40.76065970000000000000,-73.98042047000000000000,W 51 St & 6 Ave,"",2013-07-10 23:13:58.717985,2013-07-10 23:13:58.717985
285,511,40.72938685000000000000,-73.97772429000000000000,E 14 St & Avenue B,"",2013-07-10 23:13:58.73268,2013-07-10 23:13:58.73268
286,512,40.75007270000000000000,-73.99839279000000000000,W 29 St & 9 Ave,"",2013-07-10 23:13:58.748757,2013-07-10 23:13:58.748757
287,513,40.76825400000000000000,-73.98863900000001000000,W 56 St & 10 Ave,"",2013-07-10 23:13:58.763559,2013-07-10 23:13:58.763559
288,514,40.76087502000000000000,-74.00277668000000000000,12 Ave & W 40 St,"",2013-07-10 23:13:58.777189,2013-07-10 23:13:58.777189
289,515,40.76009437000000000000,-73.99461843000000000000,W 43 St & 10 Ave,"",2013-07-10 23:13:58.792392,2013-07-10 23:13:58.792392
290,516,40.75206862000000000000,-73.96784384000000000000,E 47 St & 1 Ave,"",2013-07-10 23:13:58.805929,2013-07-10 23:13:58.805929
291,517,40.75149263000000000000,-73.97798847999999000000,Pershing Square S,"",2013-07-10 23:13:58.837012,2013-07-10 23:13:58.837012
292,518,40.74780373000000000000,-73.97344190000000000000,E 39 St & 2 Ave,"",2013-07-10 23:13:58.850235,2013-07-10 23:13:58.850235
293,519,40.75188406000000000000,-73.97770164000001000000,Pershing Square N,"",2013-07-10 23:13:58.88818,2013-07-10 23:13:58.88818
294,520,40.75992262000000000000,-73.97648516000000000000,W 52 St & 5 Ave,"",2013-07-10 23:13:58.902646,2013-07-10 23:13:58.902646
295,521,40.75044999000000000000,-73.99481050999999000000,8 Ave & W 31 St,"",2013-07-10 23:13:58.935434,2013-07-10 23:13:58.935434
296,522,40.75714758000000000000,-73.97207836000000000000,E 51 St & Lexington Ave,"",2013-07-10 23:13:58.948748,2013-07-10 23:13:58.948748
297,523,40.75466591000000000000,-73.99138152000000000000,W 38 St & 8 Ave,"",2013-07-10 23:13:58.983827,2013-07-10 23:13:58.983827
298,524,40.75527307000000000000,-73.98316936000001000000,W 43 St & 6 Ave,"",2013-07-10 23:13:58.996322,2013-07-10 23:13:58.996322
299,525,40.75594159000000000000,-74.00211630000000000000,W 34 St & 11 Ave,"",2013-07-10 23:13:59.008864,2013-07-10 23:13:59.008864
300,526,40.74765947000000000000,-73.98490707000001000000,E 33 St & 5 Ave,"",2013-07-10 23:13:59.038976,2013-07-10 23:13:59.038976
301,527,40.74315566000000000000,-73.97434726000000000000,E 33 St & 1 Ave,"",2013-07-10 23:13:59.052481,2013-07-10 23:13:59.052481
302,528,40.74290902000000000000,-73.97706058000000000000,2 Ave & E 30 St,"",2013-07-10 23:13:59.088315,2013-07-10 23:13:59.088315
303,529,40.75756990000000000000,-73.99098506999999000000,W 42 St & 8 Ave,"",2013-07-10 23:13:59.101628,2013-07-10 23:13:59.101628
304,530,40.77152200000000000000,-73.99054099999999000000,11 Av & 59 St,"",2013-07-10 23:13:59.115122,2013-07-10 23:13:59.115122
305,531,40.71893904000000000000,-73.99266288000000000000,Forsyth St & Broome St,"",2013-07-10 23:13:59.128292,2013-07-10 23:13:59.128292
